id,text,url,source,domain,published,scraped_at
42tcen_bbdfc816,od druzby po benesove dekrety co znamena peter magyar pre slovensko,https://42tcen.com/entry/od-druzby-po-benesove-dekrety-co-znamena-peter-magyar-pre-slovensko,42tcen,POLITICS,2026-04-22,2026-04-22T17:30:41Z
42tcen_78e8e69a,pohar trpelivosti pretekl senatorka hamplova pripravuje pravni kroky proti novinkam,https://42tcen.com/entry/pohar-trpelivosti-pretekl-senatorka-hamplova-pripravuje-pravni-kroky-proti-novinkam,42tcen,POLITICS,2026-04-20,2026-04-22T17:30:41Z
42tcen_4b6a1f45,magyar hra kartu trianonu harabin o madarsku a benesovych dekretoch,https://42tcen.com/entry/magyar-hra-kartu-trianonu-harabin-o-madarsku-a-benesovych-dekretoch,42tcen,POLITICS,2026-04-18,2026-04-22T17:30:41Z
42tcen_44dc9563,ne smireni ale prepisovani historie redova ostre o sjezdu sudetskych nemcu v brne,https://42tcen.com/entry/ne-smireni-ale-prepisovani-historie-redova-ostre-o-sjezdu-sudetskych-nemcu-v-brne,42tcen,SOCIETY,2026-04-16,2026-04-22T17:30:41Z
42tcen_f4452a9e,evropska komise je impotentni v pomoci clenskym statum pro ukrajinu obetuje vse varuje koten,https://42tcen.com/entry/evropska-komise-je-impotentni-v-pomoci-clenskym-statum-pro-ukrajinu-obetuje-vse-varuje-koten,42tcen,POLITICS,2026-04-14,2026-04-22T17:30:41Z
42tcen_e59fcc53,konecna o magyarovi k eu bude vstricnejsi ale v otazce ukrajiny k obratu nedojde,https://42tcen.com/entry/konecna-o-magyarovi-k-eu-bude-vstricnejsi-ale-v-otazce-ukrajiny-k-obratu-nedojde,42tcen,POLITICS,2026-04-14,2026-04-22T17:30:41Z
42tcen_c316ac5e,prokurator a znalec uz vopred rozhodli o vine slota o politickom procese proti kollarovi,https://42tcen.com/entry/prokurator-a-znalec-uz-vopred-rozhodli-o-vine-slota-o-politickom-procese-proti-kollarovi,42tcen,OTHER,2026-04-06,2026-04-22T17:30:41Z
42tcen_043d1aca,pravo na mier do ustavy ludia to podporuju ale politicka scena reaguje s velkym spomalenim,https://42tcen.com/entry/pravo-na-mier-do-ustavy-ludia-to-podporuju-ale-politicka-scena-reaguje-s-velkym-spomalenim,42tcen,OTHER,2026-04-08,2026-04-22T17:30:41Z
42tcen_ebfb1cad,kobza spolecne zajmy evropske komise a ukrajiny trci z ropne krize jako pero z gauce,https://42tcen.com/entry/kobza-spolecne-zajmy-evropske-komise-a-ukrajiny-trci-z-ropne-krize-jako-pero-z-gauce,42tcen,POLITICS,2026-04-08,2026-04-22T17:30:41Z
42tcen_5f10166f,riziko volneho pohybu valecniku z ukrajiny nase bezpecnostni slozky nezvladnou novotny uvedl proc,https://42tcen.com/entry/riziko-volneho-pohybu-valecniku-z-ukrajiny-nase-bezpecnostni-slozky-nezvladnou-novotny-uvedl-proc,42tcen,OTHER,2026-04-10,2026-04-22T17:30:41Z
