id,text,url,source,domain,published,scraped_at
ct24_f252ff90,mapa demarkacni linie v libanonu prisuzuje izraeli kontrolu nad desitkami mest,https://ct24.ceskatelevize.cz/clanek/svet/mapa-demarkacni-linie-v-libanonu-prisuzuje-izraeli-kontrolu-nad-desitkami-mest-372558,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_ae026143,trump americke namornictvo u omanu zautocilo na lod s iranskou vlajkou,https://ct24.ceskatelevize.cz/clanek/svet/trump-americke-namornictvo-u-omanu-zautocilo-na-lod-s-iranskou-vlajkou-372559,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_181c73cf,sedm let od pozaru notre dame stale unika jeho pricina,https://ct24.ceskatelevize.cz/clanek/svet/sedm-let-od-pozaru-notre-dame-stale-unika-jeho-pricina-372549,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_8d4afeea,zuna schvalil doporuceni o rozvoji protivzdusne obrany,https://ct24.ceskatelevize.cz/clanek/domaci/zuna-schvalil-doporuceni-o-rozvoji-protivzdusne-obrany-372556,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_a73bd4d7,hlavni mesto praha/v praze se chyli ke konci razba prvniho useku metra d,https://ct24.ceskatelevize.cz/clanek/regiony/hlavni-mesto-praha/v-praze-se-chyli-ke-konci-razba-prvniho-useku-metra-d-372557,CT24,SOCIETY,2026-04-19,2026-04-20T16:13:21Z
ct24_6e70cdc8,vojtechuv resort chce omezit alkohol opatreni by mirila na nocni prodej ci reklamu,https://ct24.ceskatelevize.cz/clanek/domaci/vojtechuv-resort-chce-omezit-alkohol-opatreni-by-mirila-na-nocni-prodej-ci-reklamu-372552,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_a20c2868,prymula haji sirsi ockovani silovi tlak na vakcinaci vadi,https://ct24.ceskatelevize.cz/clanek/domaci/prymula-haji-sirsi-ockovani-silovi-tlak-na-vakcinaci-vadi-372548,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_226363e0,muz v usa po hadce zavrazdil osm deti policie ho zastrelila,https://ct24.ceskatelevize.cz/clanek/svet/muz-v-usa-po-hadce-zavrazdil-osm-deti-policie-ho-zastrelila-372553,CT24,POLITICS,2026-04-20,2026-04-20T16:13:21Z
ct24_15c036ce,souhrn zasadni udalosti nedele 19 dubna,https://ct24.ceskatelevize.cz/clanek/media/souhrn-zasadni-udalosti-nedele-19-dubna-372550,CT24,OTHER,2026-04-19,2026-04-20T16:13:21Z
ct24_afa610b8,tchaj wanu je dle vondracka venovana nadstandardni pozornost vztahy se musi udrzovat rika,https://ct24.ceskatelevize.cz/clanek/domaci/tchaj-wanu-je-dle-vondracka-venovana-nadstandardni-pozornost-vztahy-se-musi-udrzovat-rika-372547,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_9a6a0f7b,bednar haji vraceni duchodove hranice na 65 let budeme evropskou vyjimkou mini pivonka vankova,https://ct24.ceskatelevize.cz/clanek/ekonomika/bednar-haji-vraceni-duchodove-hranice-na-65-let-budeme-evropskou-vyjimkou-mini-pivonka-vankova-372534,CT24,ECONOMY,2026-04-19,2026-04-20T16:13:21Z
ct24_4f710701,deti se diky naramkum proti obezite vice hybou,https://ct24.ceskatelevize.cz/clanek/domaci/deti-se-diky-naramkum-proti-obezite-vice-hybou-372504,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_b0190362,demonstranti v praze zadaji zmeny ve vedeni ministerstva zivotniho prostredi,https://ct24.ceskatelevize.cz/clanek/domaci/demonstranti-v-praze-zadaji-zmeny-ve-vedeni-ministerstva-zivotniho-prostredi-372546,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_6337a821,cesko se ma zapojit do macronovy iniciativy jaderneho odstraseni mini babis,https://ct24.ceskatelevize.cz/clanek/domaci/cesko-se-ma-zapojit-do-macronovy-iniciativy-jaderneho-odstraseni-mini-babis-372545,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_740a4460,cesko ma podle havlicka smluvne zajisteny dodavky leteckeho paliva na celou sezonu,https://ct24.ceskatelevize.cz/clanek/ekonomika/cesko-ma-podle-havlicka-smluvne-zajisteny-dodavky-leteckeho-paliva-na-celou-sezonu-372544,CT24,ECONOMY,2026-04-19,2026-04-20T16:13:21Z
ct24_d4cc7a1f,diky nove technologii ma pri lekarskych zakrocich stacit mene radiace,https://ct24.ceskatelevize.cz/clanek/domaci/diky-nove-technologii-ma-pri-lekarskych-zakrocich-stacit-mene-radiace-372526,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_e08761c4,hodnotova politika vicemene nic neprinesla rekl babis k vystrcilove ceste na tchaj wan,https://ct24.ceskatelevize.cz/clanek/domaci/hodnotova-politika-vicemene-nic-neprinesla-rekl-babis-k-vystrcilove-ceste-na-tchaj-wan-372541,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_58c4711b,trinidadska policie nasla tela padesati deti,https://ct24.ceskatelevize.cz/clanek/svet/trinidadska-policie-nasla-tela-padesati-deti-372543,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_fc9998c1,vystavba tanecniho salu bileho domu muze docasne pokracovat rozhodl soud,https://ct24.ceskatelevize.cz/clanek/svet/vystavba-tanecniho-salu-bileho-domu-muze-docasne-pokracovat-rozhodl-soud-372540,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_3dfe8be0,kocka na kolejich v divadle mana proveruje lasku,https://ct24.ceskatelevize.cz/clanek/kultura/kocka-na-kolejich-v-divadle-mana-proveruje-lasku-372498,CT24,OTHER,2026-04-19,2026-04-20T16:13:21Z
ct24_1cd24b9c,studenti umprum vezou do mesta mody textilni odpad,https://ct24.ceskatelevize.cz/clanek/kultura/studenti-umprum-vezou-do-mesta-mody-textilni-odpad-372494,CT24,OTHER,2026-04-19,2026-04-20T16:13:21Z
ct24_09fb5b70,rakouska policie varuje pred mozna otravenou kojeneckou vyzivou hipp,https://ct24.ceskatelevize.cz/clanek/domaci/rakouska-policie-varuje-pred-mozna-otravenou-kojeneckou-vyzivou-hipp-372539,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_ee7e365c,kompetence porodnich asistentek se zvetsuje roste jejich samostatnost,https://ct24.ceskatelevize.cz/clanek/domaci/kompetence-porodnich-asistentek-se-zvetsuje-roste-jejich-samostatnost-372524,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_60d5959d,kviz poznate ceska mesta podle mapy jejich tramvajovych trati,https://ct24.ceskatelevize.cz/clanek/veda/kviz-poznate-ceska-mesta-podle-mapy-jejich-tramvajovych-trati-372479,CT24,OTHER,2026-04-19,2026-04-20T16:13:21Z
ct24_31033c5a,vybuch na jihu libanonu zabil izraelskeho vojaka dalsi zranil,https://ct24.ceskatelevize.cz/clanek/svet/vybuch-na-jihu-libanonu-zabil-izraelskeho-vojaka-dalsi-zranil-372538,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_7088f50f,mlceni je amnestii pachatelum ukrajinske zeny hovori o sexualnim nasili ruskych vojaku,https://ct24.ceskatelevize.cz/clanek/svet/mlceni-je-amnestii-pachatelum-ukrajinske-zeny-hovori-o-sexualnim-nasili-ruskych-vojaku-372521,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_77c35aa8,bulhari v predcasnych volbach vybiraji novy parlament,https://ct24.ceskatelevize.cz/clanek/svet/bulhari-v-predcasnych-volbach-vybiraji-novy-parlament-372537,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_8859a63b,wc karta usnadnuje pristup na toaletu dvema tisicum pacientu,https://ct24.ceskatelevize.cz/clanek/domaci/wc-karta-usnadnuje-pristup-na-toaletu-dvema-tisicum-pacientu-372453,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_21d3cc6c,obce pribrzdily vystavbu najemnich bytu chybi jim statni podpora,https://ct24.ceskatelevize.cz/clanek/regiony/obce-pribrzdily-vystavbu-najemnich-bytu-chybi-jim-statni-podpora-372530,CT24,SOCIETY,2026-04-19,2026-04-20T16:13:21Z
ct24_cedc73e4,jednani s usa pokrocila k dohode je vsak daleko tvrdi sef iranskeho parlamentu,https://ct24.ceskatelevize.cz/clanek/svet/jednani-s-usa-pokrocila-k-dohode-je-vsak-daleko-tvrdi-sef-iranskeho-parlamentu-372536,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_db40b630,kldr odpalila nejmene jednu balistickou strelu uvedla agentura jonhap,https://ct24.ceskatelevize.cz/clanek/svet/kldr-odpalila-nejmene-jednu-balistickou-strelu-uvedla-agentura-jonhap-372535,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_e6a99061,nejisty vyvoj na blizkem vychode budi vetsi zajem o tuzemske dovolene,https://ct24.ceskatelevize.cz/clanek/domaci/nejisty-vyvoj-na-blizkem-vychode-budi-vetsi-zajem-o-tuzemske-dovolene-372531,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_edb47774,vlada odmitla vystrcilovi poskytnout letoun na tchaj wan rekl babis,https://ct24.ceskatelevize.cz/clanek/domaci/vlada-odmitla-vystrcilovi-poskytnout-letoun-na-tchaj-wan-rekl-babis-372532,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_caf52c00,africky kontinent nelze dal drancovat a vykoristovat varoval papez v angole,https://ct24.ceskatelevize.cz/clanek/svet/africky-kontinent-nelze-dal-drancovat-a-vykoristovat-varoval-papez-v-angole-372533,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_2e4a961c,falesni policiste a bankeri obiraji sve obeti v pribyvajicich kyberpodvodech,https://ct24.ceskatelevize.cz/clanek/domaci/falesni-policiste-a-bankeri-obiraji-sve-obeti-v-pribyvajicich-kyberpodvodech-372528,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_472e707a,pavel navstivil chilskou observator cesi tam maji vybavit nejvetsi teleskop sveta,https://ct24.ceskatelevize.cz/clanek/svet/pavel-navstivil-chilskou-observator-cesi-tam-maji-vybavit-nejvetsi-teleskop-sveta-372525,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_e07d5f2e,magnesia litera ocenuje nejlepsi knihy roku,https://ct24.ceskatelevize.cz/clanek/kultura/magnesia-litera-ocenuje-nejlepsi-knihy-roku-2025-372497,CT24,OTHER,2026-04-19,2026-04-20T16:13:21Z
ct24_e1567eda,souhrn zasadni udalosti soboty 18 dubna,https://ct24.ceskatelevize.cz/clanek/media/souhrn-zasadni-udalosti-soboty-18-dubna-372529,CT24,OTHER,2026-04-18,2026-04-20T16:13:21Z
ct24_d4e44924,strelec v kyjeve zabil nejmene pet lidi,https://ct24.ceskatelevize.cz/clanek/svet/strelec-v-kyjeve-zabil-nejmene-pet-lidi-372527,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_15a47460,pokracovani pocitacove hry kingdom come ziskalo cenu bafta za nejlepsi pribeh,https://ct24.ceskatelevize.cz/clanek/kultura/pokracovani-pocitacove-hry-kingdom-come-ziskalo-cenu-bafta-za-nejlepsi-pribeh-372522,CT24,OTHER,2026-04-18,2026-04-20T16:13:21Z
ct24_5580d591,tisza pri pokracujicim scitani hlasu ziskala dalsi poslanecka kresla,https://ct24.ceskatelevize.cz/clanek/svet/tisza-pri-pokracujicim-scitani-hlasu-ziskala-dalsi-poslanecka-kresla-372523,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_648e4cc8,seniori uci pleteni nactileti kyberbezpecnost projekty propojuji generace,https://ct24.ceskatelevize.cz/clanek/domaci/seniori-uci-pleteni-nactileti-kyberbezpecnost-projekty-propojuji-generace-372501,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_85cff905,zasadni je zmenit spolecenske vnimani alkoholu mini prouza voboril vola po prevenci,https://ct24.ceskatelevize.cz/clanek/domaci/zasadni-je-zmenit-spolecenske-vnimani-alkoholu-mini-prouza-voboril-vola-po-prevenci-372513,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_3d26a31e,hlavni mesto praha/prazsky hrad zpristupnil reprezentacni prostory,https://ct24.ceskatelevize.cz/clanek/regiony/hlavni-mesto-praha/prazsky-hrad-zpristupnil-reprezentacni-prostory-372519,CT24,SOCIETY,2026-04-19,2026-04-20T16:13:21Z
ct24_60211f2f,izraelska armada vytvorila zlutou linii v libanonu podobne jako v gaze,https://ct24.ceskatelevize.cz/clanek/svet/izraelska-armada-vytvorila-zlutou-linii-v-libanonu-podobne-jako-v-gaze-372520,CT24,POLITICS,2026-04-19,2026-04-20T16:13:21Z
ct24_4afe123e,zemrela francouzska herecka nathalie bayeova drzitelka ctyr cen cesar,https://ct24.ceskatelevize.cz/clanek/kultura/zemrela-francouzska-herecka-nathalie-bayeova-drzitelka-ctyr-cen-cesar-372518,CT24,OTHER,2026-04-18,2026-04-20T16:13:21Z
ct24_9275651a,soud rozhodne o vazbe pro americanku obvinenou z utoku na pardubickou firmu,https://ct24.ceskatelevize.cz/clanek/domaci/soud-rozhodne-o-vazbe-pro-americanku-obvinenou-z-utoku-na-pardubickou-firmu-372517,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_a397e393,pro pamet naroda se pobezi v devatenacti mestech nove v mimoni rtyni a vimperku,https://ct24.ceskatelevize.cz/clanek/domaci/pro-pamet-naroda-se-pobezi-v-devatenacti-mestech-nove-v-mimoni-rtyni-a-vimperku-372486,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_162cb937,migrantu zadrzenych za nelegalni prekroceni hranice v polsku vyrazne ubylo,https://ct24.ceskatelevize.cz/clanek/svet/migrantu-zadrzenych-za-nelegalni-prekroceni-hranice-v-polsku-vyrazne-ubylo-372503,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_3c890a87,imunoterapie si poradi s drive nelecitelnymi nemocemi zatim ma ale radu slabin,https://ct24.ceskatelevize.cz/clanek/veda/imunoterapie-si-poradi-s-drive-nelecitelnymi-nemocemi-zatim-ma-ale-radu-slabin-372477,CT24,OTHER,2026-04-18,2026-04-20T16:13:21Z
ct24_f79c45dd,konvoj tankeru proplouva otevrenym hormuzskym prulivem,https://ct24.ceskatelevize.cz/clanek/svet/konvoj-tankeru-proplouva-otevrenym-hormuzskym-prulivem-372516,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
ct24_75453c63,tchajwanskym prulivem proplul japonsky torpedoborec cina ostre protestuje,https://ct24.ceskatelevize.cz/clanek/svet/tchajwanskym-prulivem-proplul-japonsky-torpedoborec-cina-ostre-protestuje-372515,CT24,POLITICS,2026-04-18,2026-04-20T16:13:21Z
