id,text,url,source,domain,published,scraped_at
protiproud_ef5d26da,nehlasujes spravne zaplatis kohouty se zavrou vlada se sesype orban odepsan zazlobila sofie uz se brousi noze kolik statu musi jeste narazit nez to dojde vsem 2,https://protiproud.info/nehlasujes-spravne-zaplatis-kohouty-se-zavrou-vlada-se-sesype-orban-odepsan-zazlobila-sofie-uz-se-brousi-noze-kolik-statu-musi-jeste-narazit-nez-to-dojde-vsem-2/,Protiproud,POLITICS,2026-04-22,2026-04-22T20:34:13Z
protiproud_2c194d58,hysterie kolem poplatku pro verejnopravni media magyarovy vyhruzky zastaveni vysilani a odvolani prezidenta a soudcu nechavaji brusel v klidu co kdyby babis zastavil vysilani zpravodajs,https://protiproud.info/hysterie-kolem-poplatku-pro-verejnopravni-media-magyarovy-vyhruzky-zastaveni-vysilani-a-odvolani-prezidenta-a-soudcu-nechavaji-brusel-v-klidu-co-kdyby-babis-zastavil-vysilani-zpravodajs/,Protiproud,POLITICS,2026-04-22,2026-04-22T20:34:13Z
protiproud_64ab6ac7,brno zhnedne navrat ktery se nemel stat pamet v likvidaci smireni jako kryti kdo otevrel brany kdo prodava minulost dekrety konecne podkopany suverenita rozebirana a odpor nikde penize,https://protiproud.info/brno-zhnedne-navrat-ktery-se-nemel-stat-pamet-v-likvidaci-smireni-jako-kryti-kdo-otevrel-brany-kdo-prodava-minulost-dekrety-konecne-podkopany-suverenita-rozebirana-a-odpor-nikde-penize-/,Protiproud,OTHER,2026-04-22,2026-04-22T20:34:13Z
protiproud_81d4e154,umanuty prezident prezident ktery spory neurovnava ale vytvari uzival zazitkovy mandat za fialovy ukrajinske vlady obstrukce pri jmenovani filipa turka se mu dnes vraci lampasak se odvo,https://protiproud.info/umanuty-prezident-prezident-ktery-spory-neurovnava-ale-vytvari-uzival-zazitkovy-mandat-za-fialovy-ukrajinske-vlady-obstrukce-pri-jmenovani-filipa-turka-se-mu-dnes-vraci-lampasak-se-odvo/,Protiproud,POLITICS,2026-04-21,2026-04-22T20:34:13Z
protiproud_df39f504,teaparty 260420 petr hajek,https://protiproud.info/teaparty-260420-petr-hajek/,Protiproud,OTHER,2026-04-20,2026-04-22T20:34:13Z
protiproud_10fa5ad9,cenzura v ceske televizi ct utoci na zaklady naseho demokratickeho pravniho statu kavci hory jako hrozba pro prava cloveka reportaz proti lidem kteri realizuji sva ustavni prava cast te,https://protiproud.info/cenzura-v-ceske-televizi-ct-utoci-na-zaklady-naseho-demokratickeho-pravniho-statu-kavci-hory-jako-hrozba-pro-prava-cloveka-reportaz-proti-lidem-kteri-realizuji-sva-ustavni-prava-cast-te/,Protiproud,SOCIETY,2026-04-20,2026-04-22T20:34:13Z
protiproud_05e7782a,jama a kyvadlo mohou neco zmenit volby v koncentraku otevreny vysmech demokracii stane se radev orbanem c 2 v poutech nelze mluvit o svobode ani o miru obrana babisova male krucky z jam,https://protiproud.info/jama-a-kyvadlo-mohou-neco-zmenit-volby-v-koncentraku-otevreny-vysmech-demokracii-stane-se-radev-orbanem-c-2-v-poutech-nelze-mluvit-o-svobode-ani-o-miru-obrana-babisova-male-krucky-z-jam/,Protiproud,POLITICS,2026-04-19,2026-04-22T20:34:13Z
protiproud_eea5880d,o prave a falesne lasce miluj pritele v bohu a nepritele pro boha nedostatek lasky je onim hromosvodem ktery svolava na zemi blesky zkazy nemilujes boha proto se take nikdy nenaucis mil,https://protiproud.info/o-prave-a-falesne-lasce-miluj-pritele-v-bohu-a-nepritele-pro-boha-nedostatek-lasky-je-onim-hromosvodem-ktery-svolava-na-zemi-blesky-zkazy-nemilujes-boha-proto-se-take-nikdy-nenaucis-mil/,Protiproud,OTHER,2026-04-19,2026-04-22T20:34:13Z
protiproud_8fd5394c,pred nami krize jaka tu jeste nebyla bez navratu penize mizi zasoby konci zadna pauza zadne zpozdeni jen pad media lzou jako kdysi lhala ta sovetska covid byl jen trenink rozpad v prime,https://protiproud.info/pred-nami-krize-jaka-tu-jeste-nebyla-bez-navratu-penize-mizi-zasoby-konci-zadna-pauza-zadne-zpozdeni-jen-pad-media-lzou-jako-kdysi-lhala-ta-sovetska-covid-byl-jen-trenink-rozpad-v-prime/,Protiproud,HEALTH,2026-04-18,2026-04-22T20:34:13Z
protiproud_68cf3eec,ticha sterilizace jak nas ockovali do vyhynuti zavirani oci pred dukazy byla cela pandemie na objednavku porodnost pada na dno imunita v troskach rakovina narodu prave ted zvoni hrana c,https://protiproud.info/ticha-sterilizace-jak-nas-ockovali-do-vyhynuti-zavirani-oci-pred-dukazy-byla-cela-pandemie-na-objednavku-porodnost-pada-na-dno-imunita-v-troskach-rakovina-narodu-prave-ted-zvoni-hrana-c/,Protiproud,HEALTH,2026-04-18,2026-04-22T20:34:13Z
