id,text,url,source,domain,published,scraped_at
reflex_c1ced4f3,gesto dobre vule babis nabidl vystrcilovi aby jel na tchaj wan jeho volebni dodavkou,https://www.reflex.cz/clanek/divoky-kacer/135095/gesto-dobre-vule-babis-nabidl-vystrcilovi-aby-jel-na-tchaj-wan-jeho-volebni-dodavkou.html,Reflex,POLITICS,2026-04-21,2026-04-22T17:06:14Z
reflex_1c0b65fa,briza jaderny arzenal britanie a francie tvori desetinu toho co ma rusko bez usa nato zanikne,https://www.reflex.cz/clanek/prostor-x/135091/briza-jaderny-arzenal-britanie-a-francie-tvori-desetinu-toho-co-ma-rusko-bez-usa-nato-zanikne.html,Reflex,POLITICS,2026-04-21,2026-04-22T17:06:14Z
reflex_b7b26500,opozicni strany planuji zablokovat volbu kandidatu do rady ct ktera ma probehnout tento tyden,https://www.reflex.cz/clanek/zpravy/135080/opozicni-strany-planuji-zablokovat-volbu-kandidatu-do-rady-ct-ktera-ma-probehnout-tento-tyden.html,Reflex,POLITICS,2026-04-21,2026-04-22T17:06:14Z
reflex_8008f61f,tancici dum slavi 30 let vystava ukaze gehryho originaly i luxusni kousky od evy jiricne,https://www.reflex.cz/clanek/kultura/135077/tancici-dum-slavi-30-let-vystava-ukaze-gehryho-originaly-i-luxusni-kousky-od-evy-jiricne.html,Reflex,OTHER,2026-04-21,2026-04-22T17:06:14Z
reflex_08831208,vizual letosniho rocniku mff karlovy vary stoji na cervenem koberci,https://www.reflex.cz/clanek/kultura/135071/vizual-letosniho-rocniku-mff-karlovy-vary-stoji-na-cervenem-koberci.html,Reflex,OTHER,2026-04-21,2026-04-22T17:06:14Z
reflex_0356ba77,valka je pro putina otazkou preziti pokud chce vladnout musi valcit,https://www.reflex.cz/clanek/komentare/135070/valka-je-pro-putina-otazkou-preziti-pokud-chce-vladnout-musi-valcit.html,Reflex,POLITICS,2026-04-21,2026-04-22T17:06:14Z
reflex_2806809f,psychiatr cyril hoschl zil pro druhe pripomenme si ho dnes vecer dokumentem a kdykoli jindy knihou,https://www.reflex.cz/clanek/kultura/135067/psychiatr-cyril-hoschl-zil-pro-druhe-pripomenme-si-ho-dnes-vecer-dokumentem-a-kdykoli-jindy-knihou.html,Reflex,OTHER,2026-04-21,2026-04-22T17:06:14Z
reflex_f46faa10,dvoji kulatiny karlovarskemu filmovemu festivalu je 60 ale taky trochu 80,https://www.reflex.cz/clanek/kultura/135061/dvoji-kulatiny-karlovarskemu-filmovemu-festivalu-je-60-ale-taky-trochu-80.html,Reflex,OTHER,2026-04-21,2026-04-22T17:06:14Z
reflex_684687f2,magda vasaryova po uspechu sve knihy prevezme i cenu prezidenta na 60 rocniku mff kv,https://www.reflex.cz/clanek/kultura/135060/magda-vasaryova-po-uspechu-sve-knihy-prevezme-i-cenu-prezidenta-na-60-rocniku-mff-kv.html,Reflex,OTHER,2026-04-21,2026-04-22T17:06:14Z
reflex_3c55d0c8,zatahne nas babis do valky ceske radary v hormuzu mu u trumpa nepomuzou,https://www.reflex.cz/clanek/padni-komu-padni/135058/zatahne-nas-babis-do-valky-ceske-radary-v-hormuzu-mu-u-trumpa-nepomuzou.html,Reflex,POLITICS,2026-04-20,2026-04-22T17:06:14Z
reflex_31947f99,smesna i desiva historie ku klux klanu rasisticky spolek porazila odvaha a vtip profesora folkloristiky,https://www.reflex.cz/clanek/historie/135055/smesna-i-desiva-historie-ku-klux-klanu-rasisticky-spolek-porazila-odvaha-a-vtip-profesora-folkloristiky.html,Reflex,OTHER,2026-04-20,2026-04-22T17:06:14Z
reflex_cf2e6f0b,roman hana od aleny mornstajnove se stal bestsellerem a podmanil si i divadelni prkna,https://www.reflex.cz/clanek/kultura/135054/roman-hana-od-aleny-mornstajnove-se-stal-bestsellerem-a-podmanil-si-i-divadelni-prkna.html,Reflex,OTHER,2026-04-20,2026-04-22T17:06:14Z
reflex_cd7f145a,hodnotove prazdny babis ve vleku procinske lobby vlada po pavlovi zakazala let i vystrcilovi,https://www.reflex.cz/clanek/komentare/135053/hodnotove-prazdny-babis-ve-vleku-procinske-lobby-vlada-po-pavlovi-zakazala-let-i-vystrcilovi.html,Reflex,POLITICS,2026-04-20,2026-04-22T17:06:14Z
reflex_dbc6c7e3,poezie se vraci do rubinu a studio rubin uvede multizanrovou inscenaci korale okolo hrdla premieru bude mit 3 kvetna,https://www.reflex.cz/clanek/kultura/135052/poezie-se-vraci-do-rubinu-a-studio-rubin-uvede-multizanrovou-inscenaci-korale-okolo-hrdla-premieru-bude-mit-3-kvetna.html,Reflex,OTHER,2026-04-20,2026-04-22T17:06:14Z
reflex_7fdc884d,orban jako lukasenko evropske unie zadna jistota do budoucna neni,https://www.reflex.cz/clanek/komentare/135051/orban-jako-lukasenko-evropske-unie-zadna-jistota-do-budoucna-neni.html,Reflex,POLITICS,2026-04-20,2026-04-22T17:06:14Z
