id,url,source,published,pre-label,header
ct24_31033c5a,https://ct24.ceskatelevize.cz/clanek/svet/vybuch-na-jihu-libanonu-zabil-izraelskeho-vojaka-dalsi-zranil-372538,CT24,2026-04-19,N,"Výbuch na jihu Libanonu zabil izraelského vojáka, další zranil"
ct24_ddf5aba7,https://ct24.ceskatelevize.cz/clanek/domaci/snemovna-by-mohla-zrychlene-projednat-zakon-k-regulaci-cen-pohonnych-hmot-372349,CT24,2026-04-15,N,"Vláda bude zřejmě moci regulovat ceny benzinu a nafty, schválila to sněmovna"
ct24_34de8404,https://ct24.ceskatelevize.cz/clanek/svet/usa-v-iranu-zachranily-letce-ze-sestreleneho-letounu-f-15-372064,CT24,2026-04-05,N,USA v Íránu zachránily letce ze sestřeleného letounu F-15
ct24_9c488eeb,https://ct24.ceskatelevize.cz/clanek/svet/trump-naridil-vyplatit-mzdy-vsem-zamestnancum-ministerstva-vnitrni-bezpecnosti-372045,CT24,2026-04-04,N,Trump nařídil vyplatit mzdy všem zaměstnancům ministerstva vnitřní bezpečnosti
ct24_b4df979f,https://ct24.ceskatelevize.cz/clanek/domaci/ve-ctyrech-obcich-si-lide-zvolili-nova-zastupitelstva-371823,CT24,2026-03-29,N,Ve čtyřech obcích si lidé zvolili nová zastupitelstva
ct24_5be69d73,https://ct24.ceskatelevize.cz/clanek/domaci/olomoucky-soud-vynesl-v-kauze-it-zakazek-znovu-zprostujici-rozsudek-371738,CT24,2026-03-26,N,Olomoucký soud vynesl v kauze IT zakázek znovu zprošťující rozsudek
ct24_cac2da60,https://ct24.ceskatelevize.cz/clanek/svet/v-londyne-horely-ctyri-sanitky-policie-to-vysetruje-jako-antisemitsky-trestny-cin-371589,CT24,2026-03-23,N,V Londýně hořely čtyři sanitky. Policie to vyšetřuje jako antisemitský trestný čin
ct24_0b31368f,https://ct24.ceskatelevize.cz/clanek/kultura/zemrela-ceska-bardotka-jana-brejchova-112118,CT24,2026-02-07,N,Zemřela „česká Bardotka“ Jana Brejchová
ct24_476e17e3,https://ct24.ceskatelevize.cz/clanek/regiony/po-kritice-se-zmeni-zpusob-vymeny-svitidel-v-praze-mapa-ukazuje-jejich-rozmisteni-369250,CT24,2026-02-16,N,Po kritice se změní způsob výměny svítidel v Praze. Mapa ukazuje jejich rozmístění
ct24_d68dfa37,https://ct24.ceskatelevize.cz/clanek/domaci/cesi-pomahaji-s-generatory-pro-ukrajinu-369789,CT24,2026-01-29,N,Češi pomáhají s generátory pro Ukrajinu
ct24_462deb25,https://ct24.ceskatelevize.cz/clanek/domaci/za-vrazdu-frantiska-mrazka-uz-trest-nepadne-je-promlcena-369636,CT24,2026-01-25,N,Vražda Františka Mrázka je po dvaceti letech promlčená. Pachatel zůstává neznámý
ct24_a1b0c998,https://ct24.ceskatelevize.cz/clanek/svet/po-vybuchu-ve-svycarskem-lyzarskem-stredisku-je-nekolik-mrtvych-uvedla-policie-368794,CT24,2026-01-02,N,Při požáru ve švýcarském lyžařském středisku zemřely desítky lidí
ct24_4b3c6c58,https://ct24.ceskatelevize.cz/clanek/domaci/soud-poslal-zapasnika-vemolu-do-vazby-368627,CT24,2025-12-25,N,Soud poslal zápasníka Vémolu a další dva obviněné do vazby
ct24_6372c20b,https://ct24.ceskatelevize.cz/clanek/svet/polsky-student-katolicke-univerzity-chystal-utok-na-vanocni-trh-uvedly-urady-368354,CT24,2025-12-16,N,"Polský student katolické univerzity chystal útok na vánoční trh, uvedly úřady"
ct24_7cfa270c,https://ct24.ceskatelevize.cz/clanek/domaci/ministri-za-spd-budou-v-neustalem-kontaktu-s-vedenim-hnuti-rika-dolezal-368323,CT24,2025-12-16,N,"Ministři za SPD budou v neustálém kontaktu s vedením hnutí, říká Doležal"
ct24_bf33d3bc,https://ct24.ceskatelevize.cz/clanek/regiony/karlovarsky-kraj/na-hejtmana-karlovarskeho-kraje-navrhl-klub-ano-kubise-367236,CT24,2025-11-15,N,Na hejtmana Karlovarského kraje navrhl klub ANO Kubise
ct24_637a4b8f,https://ct24.ceskatelevize.cz/clanek/svet/ukrajina-opet-zautocila-na-rusky-pristav-tuapse-367028,CT24,2026-02-25,N,Ukrajina opět zaútočila na ruský přístav Tuapse
ct24_96dc81f5,https://ct24.ceskatelevize.cz/clanek/svet/soud-poslal-rappera-diddyho-na-ctyri-roky-do-vezeni-365711,CT24,2025-10-04,N,Soud poslal rappera „Diddyho“ na čtyři roky do vězení
ct24_7f11f795,https://ct24.ceskatelevize.cz/clanek/domaci/nektere-vysoke-skoly-nabizeji-druhe-kolo-prijimacek-az-do-poloviny-zari-364484,CT24,2025-08-29,N,Některé vysoké školy nabízejí druhé kolo přijímaček až do poloviny září
ct24_32af57e7,https://ct24.ceskatelevize.cz/clanek/domaci/v-polsku-nalezli-pozustatky-cecha-utonuleho-pri-lonskych-zaplavach-364359,CT24,2025-08-25,N,V Polsku nalezli pozůstatky Čecha utonulého při loňských záplavách
ct24_75e5906b,https://ct24.ceskatelevize.cz/clanek/regiony/falesny-policista-a-banker-vylakali-miliony-z-muzea-mladoboleslavska-364234,CT24,2025-08-21,N,Falešný policista a bankéř vylákali miliony z Muzea Mladoboleslavska
ct24_13b611a6,https://ct24.ceskatelevize.cz/clanek/svet/rusko-a-usa-se-dohodly-na-setkani-trumpa-s-putinem-rekl-poradce-kremlu-363787,CT24,2025-08-07,N,"Rusko a USA se dohodly na setkání Trumpa s Putinem, řekl poradce Kremlu"
ct24_526ea668,https://ct24.ceskatelevize.cz/clanek/veda/deti-ve-mestech-dychaji-az-o-pet-stupnu-teplejsi-vzduch-nez-dospeli-ukazuji-mereni-363670,CT24,2025-08-04,N,"Děti ve městech dýchají až o pět stupňů teplejší vzduch než dospělí, ukazují měření"
ct24_9921aec1,https://ct24.ceskatelevize.cz/clanek/domaci/soud-prerusil-stihani-v-kauze-zakazky-na-dezinfekci-fotbalovych-stadionu-363214,CT24,2025-07-23,N,Soud přerušil stíhání v kauze zakázky na dezinfekci fotbalových stadionů
ct24_89f1efe6,https://ct24.ceskatelevize.cz/clanek/svet/povinne-registrace-na-cestu-do-britanie-budou-otevrene-od-stredy-358652,CT24,2025-03-04,N,Povinné registrace na cestu do Británie budou otevřené od středy
ct24_77d94069,https://ct24.ceskatelevize.cz/clanek/svet/microsoft-v-kvetnu-ukonci-sluzbu-skype-358556,CT24,2025-02-28,N,Microsoft v květnu ukončí službu Skype
ct24_bc23256d,https://ct24.ceskatelevize.cz/clanek/regiony/kvuli-kaceni-stromu-nejezdi-vlaky-na-hlavni-trati-z-hradce-kralove-na-prahu-357960,CT24,2025-02-10,N,Kvůli kácení stromů nejezdí vlaky na hlavní trati z Hradce Králové na Prahu
